Book_ID,Book_Title,Authors,Rating,Number_of_reviews,Ratings_Count,ISBN-10,ISBN-13,Num_Of_Pages,Language_Code,Publication_year,Publisher
24,In a Sunburned Country,Bill Bryson,4.07,4245.0,72451.0,0767903862,9780767903868,335.0,eng,2001,Broadway Books
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,2211.0,49240.0,076790382X,9780767903820,304.0,eng,2000,Broadway Books
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,2257.0,45712.0,0060920084,9780060920081,299.0,eng,1990,William Morrow Paperbacks
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,2238.0,48701.0,0380713802,9780380713806,254.0,eng,1993,William Morrow Paperbacks
28,Notes from a Small Island,Bill Bryson,3.91,3301.0,80609.0,0380727501,9780380727506,324.0,eng,1997,William Morrow Paperbacks
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,2085.0,28489.0,0380715430,9780380715435,270.0,eng,1991,William Morrow Paperbacks
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,1550.0,101233.0,0345538374,9780345538376,1728.0,eng,2012,Ballantine Books
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,91.0,1710.0,0618517650,9780618517657,1184.0,eng,2004,Houghton Mifflin Harcourt
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,13670.0,2128944.0,0618346252,9780618346257,398.0,eng,2003,Houghton Mifflin Harcourt
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,46.0,19822.0,0618391002,9780618391004,218.0,eng,2003,Houghton Mifflin Harcourt
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,6.0,359.0,0618510826,9780618510825,224.0,eng,2004,Houghton Mifflin Harcourt
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,59.0,1430.0,097669400X,9780976694007,558.0,eng,2005,Pragmatic Bookshelf
50,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,12017.0,270244.0,0689840926,9780689840920,208.0,eng,2000,Atheneum Books for Young Readers: Richard Jackson Books
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4.0,2.0,36.0,1557344493,9781557344496,48.0,eng,1994,Teacher Created Resources
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,334.0,2067.0,0385326505,9780385326506,144.0,eng,2001,Delacorte Press
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,16.0,99.0,1595580271,9781595580276,228.0,en-US,2005,The New Press
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,4.0,167.0,1595962808,9781595962805,304.0,eng,2005,Changeling Press
58,Changeling (Changeling  #1),Delia Sherman,3.6,111.0,978.0,0670059676,9780670059676,256.0,eng,2006,Viking Juvenile
59,The Changeling Sea,Patricia A. McKillip,4.06,302.0,4454.0,0141312629,9780141312620,137.0,eng,2003,Firebird
61,The Changeling,Zilpha Keatley Snyder,4.17,96.0,1176.0,0595321801,9780595321803,228.0,eng,2004,iUniverse
66,The Changeling (Daughters of England  #15),Philippa Carr,3.98,12.0,345.0,0449146979,9780449146972,369.0,eng,1990,Ivy Books
67,The Known World,Edward P. Jones,3.83,2626.0,29686.0,0061159174,9780061159176,388.0,eng,2006,Amistad
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,82.0,1456.0,0273704745,9780273704744,334.0,eng,2006,FT Press
72,Artesia: Adventures in the Known World,Mark Smylie,4.13,4.0,52.0,1932386106,9781932386103,352.0,eng,2005,Archaia
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,37.0,562.0,0374517193,9780374517199,416.0,eng,1982,"Farrar, Straus and Giroux"
75,Uncommon Carriers,John McPhee,3.95,203.0,1630.0,0374280398,9780374280390,248.0,en-US,2006,"Farrar, Straus and Giroux"
76,Heirs of General Practice,John McPhee,4.17,22.0,268.0,0374519749,9780374519742,128.0,eng,1986,"Farrar, Straus and Giroux"
77,The Control of Nature,John McPhee,4.24,305.0,3498.0,0374522596,9780374522599,288.0,en-US,1990,"Farrar, Straus and Giroux"
78,Annals of the Former World,John McPhee,4.34,228.0,3115.0,0374518734,9780374518738,720.0,eng,1999,"Farrar, Straus and Giroux"
79,Coming Into the Country,John McPhee,4.22,261.0,5704.0,0374522871,9780374522872,448.0,eng,1991,"Farrar, Straus and Giroux"
80,La Place de la Concorde Suisse,John McPhee,3.92,52.0,698.0,0374519323,9780374519322,160.0,fre,1994,"Farrar, Straus and Giroux"
81,Giving Good Weight,John McPhee,4.23,36.0,542.0,0374516006,9780374516000,288.0,eng,1994,"Farrar, Straus and Giroux"
83,Rising from the Plains,John McPhee,4.23,98.0,1341.0,0374520658,9780374520656,208.0,eng,1987,"Farrar, Straus and Giroux"
85,The Heidi Chronicles,Wendy Wasserstein,3.75,70.0,1423.0,0822205106,9780822205104,81.0,eng,2002,Dramatists Play Service
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,64.0,2766.0,0679734996,9780679734994,249.0,eng,1991,Vintage
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,1.0,31.0,1596670231,9781596670235,138.0,eng,2006,Routledge
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,4.0,62.0,1581807740,9781581807745,128.0,en-US,2006,North Light Books
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,53.0,860.0,0800793617,9780800793616,192.0,eng,2003,Chosen Books
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,2.0,77.0,0871202867,9780871202864,108.0,en-US,1997,Association for Supervision & Curriculum Development
93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,2257.0,153317.0,0753454947,9780753454947,352.0,eng,2002,Kingfisher
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,5.0,55.0,0871209993,9780871209993,192.0,eng,2004,ASCD
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,6.0,34.0,1852402873,9781852402877,192.0,eng,2003,Sovereign World
98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,659.0,11797.0,0761129588,9780761129585,832.0,eng,2003,Workman Publishing Company
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,8.0,34.0,0972016414,9780972016414,123.0,eng,2004,One Hour Entertainment
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,4.0,78.0,1581805632,9781581805635,128.0,en-US,2004,North Light Books
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,166.0,2785.0,0441294677,9780441294671,423.0,eng,1987,Ace Books
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,568.0,38778.0,0441102670,9780441102679,436.0,eng,1987,Ace Books
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,2359.0,97494.0,0441172695,9780441172696,331.0,eng,1987,Ace Books
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,21.0,784.0,0765306476,9780765306470,592.0,en-US,2004,Tor Books
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,20.0,272.0,0399128980,9780399128981,480.0,eng,1984,Putnam
110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,83.0,4789.0,0765353709,9780765353702,426.0,eng,2006,Tor Science Fiction
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,644.0,45388.0,0441328008,9780441328000,471.0,eng,1987,Ace Books
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,102.0,26153.0,0618212906,9780618212903,192.0,eng,2002,Houghton Mifflin Harcourt
122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,4551.0,69167.0,034541005X,9780345410054,544.0,eng,1996,Ballantine Books
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,1.0,16.0,0785260056,9780785260059,256.0,en-US,2004,Thomas Nelson
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,16.0,174.0,0471780936,9780471780939,205.0,eng,2006,Wiley
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,9.0,76.0,006076287X,9780060762872,336.0,eng,2005,William Morrow Paperbacks
133,eBay for Dummies,Marsha Collier,3.5,9.0,111.0,0470045299,9780470045299,386.0,eng,2006,Wiley
137,Starting an eBay Business for Dummies,Marsha Collier,3.55,4.0,55.0,0764569244,9780764569241,384.0,eng,2004,Wiley
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,1.0,22.0,0764559915,9780764559914,391.0,en-US,2004,Wiley
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,3.0,17.0,0764584383,9780764584381,864.0,en-US,2005,Wiley
141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,4.0,166.0,0596523696,9780596523695,873.0,eng,2006,O'Reilly Media
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,5.0,50.0,0806523492,9780806523491,240.0,eng,2005,Citadel
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,2.0,13.0,0806525363,9780806525365,206.0,eng,2005,Citadel
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,1.0,64.0,0596527314,9780596527310,514.0,eng,2007,O'Reilly Media
151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,1851.0,16643.0,0143035002,9780143035008,838.0,eng,2004,Penguin Classics
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,3.0,16.0,0822001837,9780822001836,80.0,eng,1965,Cliffs Notes
159,Dinner with Anna Karenina,Gloria Goldreich,2.99,65.0,411.0,0778322270,9780778322276,360.0,eng,2006,Mira Books
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,33.0,1204.0,0521313252,9780521313254,128.0,eng,1987,Cambridge University Press
162,Untouchable,Mulk Raj Anand/E.M. Forster,3.71,279.0,3429.0,0140183957,9780140183955,160.0,eng,1990,Penguin Books
163,The Untouchable,John Banville,3.95,216.0,2163.0,0679767479,9780679767473,367.0,eng,1998,Vintage
164,The Untouchables,Eliot Ness/Oscar Fraley,3.89,31.0,613.0,1568491980,9781568491981,256.0,eng,1996,Buccaneer Books
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,40.0,308.0,0743270797,9780743270793,320.0,en-US,2005,Scribner
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,4.0,16.0,0742508803,9780742508804,224.0,eng,2000,Rowman & Littlefield Publishers
180,Wrinkles in Time,George Smoot/Keay Davidson,4.01,23.0,1035.0,0380720442,9780380720446,360.0,eng,1994,Harper Perennial
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.0,6.0,36.0,0821925326,9780821925324,250.0,eng,2002,EMC/Paradigm Publishing
201,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4.0,1.0,6.0,0606105263,9780606105262,205.0,spa,1984,Turtleback Books
204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,17.0,376.0,0751506435,9780751506433,367.0,eng,1994,Little Brown Book Group
205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,237.0,3086.0,006078671X,9780060786717,352.0,eng,2006,William Morrow
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,44.0,352.0,0743499344,9780743499347,320.0,en-US,2005,Atria Books
208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,633.0,9852.0,0765313405,9780765313409,331.0,eng,2006,Tor Books
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,78.0,821.0,1400032490,9781400032495,244.0,eng,2004,Vintage Crime/Black Lizard
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,72.0,731.0,1400032482,9781400032488,215.0,eng,2005,Vintage Crime/Black Lizard
216,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,178.0,2897.0,1400032466,9781400032464,191.0,eng,2004,Vintage Crime/Black Lizard
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,11.0,98.0,0679732527,9780679732525,144.0,eng,1990,Vintage
231,I am Charlotte Simmons,Tom Wolfe,3.42,1688.0,20888.0,0312424442,9780312424442,738.0,eng,2005,Picador USA
237,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,19.0,66.0,0806930772,9780806930770,48.0,eng,2001,Sterling
244,The Puffin Book of Nonsense Verse,Quentin Blake,4.02,6.0,81.0,0140366601,9780140366600,287.0,eng,1996,Puffin
245,Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,52.0,981.0,0811201120,9780811201124,217.0,eng,1964,New Directions Publishing
247,Quiet Days in Clichy,Henry Miller,3.69,141.0,3381.0,080213016X,9780802130167,154.0,eng,1994,Grove Press
249,Tropic of Cancer,Henry Miller/Jiří Níl,3.68,2376.0,53206.0,0802131786,9780802131782,318.0,eng,1994,Grove Press
250,Tropic of Capricorn,Henry Miller,3.78,459.0,14872.0,0802151825,9780802151827,348.0,eng,1994,Grove Press
251,Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,58.0,3261.0,0802151787,9780802151780,316.0,eng,1994,Grove Press
252,Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,251.0,7805.0,0802151809,9780802151803,506.0,eng,1994,Grove Press
253,The Air-Conditioned Nightmare,Henry Miller,3.83,142.0,2699.0,0811201066,9780811201063,292.0,eng,1970,New Directions
264,The Portrait of a Lady,Henry James/Patricia Crick,3.78,1951.0,61640.0,0141439637,9780141439631,797.0,eng,2003,Penguin Classics
277,Writing,Marguerite Duras,3.75,44.0,778.0,1571290532,9781571290533,91.0,eng,1999,Brookline Books
278,The War,Marguerite Duras/Barbara Bray,3.85,65.0,963.0,1565842219,9781565842212,192.0,eng,1994,The New Press
280,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66,128.0,2057.0,0394743040,9780394743042,181.0,en-US,1986,Pantheon
285,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,8.0,203.0,1851681825,9781851681822,178.0,eng,1999,One World (UK)
288,Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21,2.0,35.0,156656249X,9781566562492,464.0,eng,1998,Interlink Publishing Group
289,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19,16.0,328.0,014019553X,9780140195538,102.0,eng,1998,Penguin Books
290,Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,3.98,82.0,1308.0,0394431243,9780394431246,216.0,eng,1995,Knopf
291,The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,3.92,517.0,6432.0,0806501901,9780806501901,132.0,eng,2003,Citadel
292,Sand and Foam,Kahlil Gibran/جبران خليل جبران,4.08,217.0,3015.0,067943920X,9780679439202,100.0,eng,2011,Knopf
295,Treasure Island,Robert Louis Stevenson,3.83,6734.0,318753.0,0753453800,9780753453803,311.0,eng,2001,Kingfisher
302,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05,16.0,91.0,1577658051,9781577658054,232.0,eng,2006,Abdo Publishing Company
313,100 Years of Lynchings,Ralph Ginzburg,4.61,4.0,88.0,0933121180,9780933121188,270.0,eng,1996,Black Classic Press
324,Cien años de soledad,Gabriel García Márquez,4.07,7.0,63.0,0785950109,9780785950103,448.0,spa,1990,French & European
330,On Beyond Zebra!,Dr. Seuss,4.04,164.0,2815.0,0394800842,9780394800844,64.0,eng,1955,Random House Books for Young Readers
332,The Wedding Clause,Debbie Raleigh,3.6,13.0,95.0,0821778250,9780821778258,256.0,eng,2005,Zebra
333,The Zebra Wall,Kevin Henkes,3.44,24.0,217.0,0060733039,9780060733032,147.0,eng,2005,Greenwillow Books
337,El perfume: Historia de un asesino,Patrick Süskind,4.02,255.0,4136.0,8432216062,9788432216060,239.0,spa,2002,Booket
348,The Door Into Summer,Robert A. Heinlein,4.01,649.0,17232.0,0345413997,9780345413994,304.0,eng,1997,Del Rey
350,Stranger in a Strange Land,Robert A. Heinlein,3.92,6241.0,251872.0,0441788386,9780441788385,528.0,eng,1991,Ace
354,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,193.0,10293.0,0441748600,9780441748600,434.0,en-US,1988,Ace Books
355,Job: A Comedy of Justice,Robert A. Heinlein,3.78,438.0,15970.0,0345316509,9780345316509,439.0,en-US,1985,Del Rey
356,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,200.0,6898.0,0765314932,9780765314932,256.0,eng,2006,Tor Books
357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,1401.0,67803.0,0671742515,9780671742515,307.0,en-US,1991,Pocket Books
359,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93,746.0,22091.0,0345455290,9780345455291,298.0,eng,2005,Del Rey
362,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,49.0,2623.0,0345476514,9780345476517,368.0,eng,2005,Del Rey
367,Douglas Adams's Starship Titanic,Terry Jones,3.6,84.0,885.0,0345368436,9780345368430,256.0,eng,1998,Ballantine Books
382,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,4.13,13.0,100.0,0573650969,9780573650963,72.0,eng,2011,Samuel French Inc.
385,On Bullshit,Harry G. Frankfurt,3.57,995.0,9358.0,0691122946,9780691122946,67.0,eng,2005,Princeton University Press
386,Another Bullshit Night in Suck City,Nick Flynn,3.78,907.0,9318.0,0393329402,9780393329407,347.0,eng,2005,W. W. Norton & Company
394,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,15.0,120.0,0671867423,9780671867423,317.0,en-US,1993,Simon & Schuster
397,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53,76.0,5239.0,0395883970,9780395883976,32.0,eng,1998,HMH Books for Young Readers
399,Underworld,Don DeLillo,3.92,175.0,1505.0,0684848155,9780684848150,827.0,eng,1998,Scribner
400,Libra,Don DeLillo,3.99,564.0,11857.0,0140156046,9780140156041,480.0,eng,1991,Penguin
403,Americana,Don DeLillo,3.43,55.0,393.0,0140119485,9780140119480,377.0,eng,1989,Penguin Books
404,Running Dog,Don DeLillo,3.43,72.0,1356.0,0679722947,9780679722946,256.0,eng,1989,Vintage Contemporaries
406,Cosmopolis,Don DeLillo,3.22,41.0,460.0,0743244257,9780743244251,224.0,eng,2004,Scribner
407,Great Jones Street,Don DeLillo,3.48,145.0,2492.0,0140179178,9780140179170,272.0,eng,1994,Penguin Books
408,The Names,Don DeLillo,3.64,212.0,3100.0,0679722955,9780679722953,339.0,eng,1989,Vintage
409,Against the Day,Thomas Pynchon,4.13,587.0,5296.0,159420120X,9781594201202,1085.0,eng,2006,Penguin Press
410,V.,Thomas Pynchon,3.96,177.0,1415.0,0060930217,9780060930219,547.0,eng,2005,Harper Perennial Modern Classics
411,The Crying of Lot 49,Thomas Pynchon,3.69,230.0,2161.0,0060931671,9780060931674,152.0,eng,1999,Harper Perennial
412,Gravity's Rainbow,Thomas Pynchon,4.01,213.0,762.0,0140283382,9780140283389,784.0,eng,2000,Penguin Books
413,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,4.07,602.0,8086.0,0312423209,9780312423209,773.0,eng,2004,Picador USA
414,Vineland,Thomas Pynchon,3.69,69.0,702.0,0141180633,9780141180632,385.0,en-US,1997,Penguin Classics
416,Slow Learner: Early Stories,Thomas Pynchon,3.5,34.0,334.0,0316724432,9780316724432,193.0,eng,1985,Back Bay Books
418,Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,3.8,220.0,2473.0,0140189300,9780140189308,352.0,eng,1996,Penguin Classics
420,The Year of Magical Thinking,Joan Didion,3.89,336.0,2656.0,140004314X,9781400043149,227.0,en-US,2005,Knopf Publishing Group
421,The White Album,Joan Didion,4.17,738.0,11889.0,0374522219,9780374522216,222.0,eng,1990,"Farrar, Straus and Giroux"
422,A Book of Common Prayer,Joan Didion,3.8,255.0,2962.0,0679754865,9780679754862,272.0,eng,1995,Vintage International
423,Where I Was From,Joan Didion,3.86,292.0,2842.0,0679752862,9780679752868,240.0,eng,2004,Vintage
424,Slouching Towards Bethlehem,Joan Didion,4.21,1825.0,26934.0,0374521727,9780374521721,238.0,eng,1990,"Farrar, Straus and Giroux"
425,Democracy,Joan Didion,3.81,169.0,2070.0,0679754857,9780679754855,234.0,en-US,1995,Vintage International
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,4.5,108.0,1564.0,0307264874,9780307264879,1122.0,eng,2006,Everyman's Library
428,Play It As It Lays,Joan Didion/David Thomson,3.87,1706.0,23656.0,0374529949,9780374529949,231.0,eng,2005,"Farrar, Straus and Giroux"
431,The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,3.89,1873.0,43200.0,0143039830,9780143039839,308.0,eng,2006,Penguin Classics
432,City of Glass (The New York Trilogy  #1),Paul Auster,3.79,734.0,12410.0,0140097317,9780140097313,203.0,eng,1987,Penguin Books
434,Ghosts (The New York Trilogy  #2),Paul Auster,3.64,195.0,3672.0,014009735X,9780140097351,96.0,eng,1987,Penguin Books
435,The Locked Room (The New York Trilogy  #3),Paul Auster,3.89,164.0,2998.0,0940650762,9780940650763,179.0,eng,1986,Sun and Moon Press
444,Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,3.89,2.0,74.0,0963188925,9780963188922,256.0,eng,1995,Sky Books (NY)
446,The Brooklyn Follies,Paul Auster,3.84,1157.0,17977.0,0312426232,9780312426231,306.0,eng,2006,Picador
447,Moon Palace,Paul Auster,3.94,503.0,16099.0,0140115854,9780140115857,320.0,eng,1990,Penguin Books
453,The Music of Chance,Paul Auster,3.9,36.0,361.0,0140154078,9780140154078,217.0,en-US,1991,Penguin Books
454,Travels in the Scriptorium,Paul Auster,3.23,562.0,6688.0,0805081453,9780805081459,145.0,eng,2007,Henry Holt & Company
456,Leviathan,Paul Auster,3.96,443.0,11744.0,0140178139,9780140178135,275.0,eng,1993,Penguin Books
463,The Red Notebook: True Stories,Paul Auster,3.77,120.0,2390.0,0811214982,9780811214988,104.0,eng,2002,New Directions
466,Timbuktu / Leviathan / Moon Palace,Paul Auster,4.38,1.0,21.0,2742741461,9782742741465,1075.0,fre,2002,Actes Sud
475,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93,2780.0,52522.0,0143036556,9780143036555,608.0,eng,2005,Penguin Books Ltd. (London)
476,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,3.4,26.0,213.0,0446579785,9780446579780,211.0,en-US,2006,Business Plus
477,Collapse of Complex Societies,Joseph A. Tainter,4.15,86.0,719.0,052138673X,9780521386739,262.0,eng,1990,Cambridge University Press
478,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,3.8,512.0,4762.0,0743203046,9780743203043,544.0,eng,2001,Simon & Schuster
481,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,3.91,4.0,62.0,034543871X,9780345438713,272.0,eng,2002,Ballantine Books
484,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,4.39,20.0,278.0,0393318281,9780393318289,576.0,eng,1998,W. W. Norton Company
493,My Inventions,Nikola Tesla,4.01,262.0,2862.0,1599869942,9781599869940,88.0,eng,2006,Filiquarian Publishing LLC.
494,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,3.78,334.0,2829.0,0806519606,9780806519609,542.0,eng,2001,Citadel
